31.0,12659380.0
30.0,12670008.0
31.0,12680636.0
33.0,12691252.0
33.0,12701884.0
33.0,12712500.0
32.0,12723116.0
31.0,12733740.0
30.0,12744356.0
30.0,12754984.0
31.0,12765604.0
31.0,12776220.0
31.0,12786844.0
30.0,12797460.0
29.0,12808084.0
30.0,12818708.0
31.0,12829324.0
30.0,12839952.0
31.0,12850572.0
30.0,12861188.0
31.0,12871812.0
31.0,12882428.0
31.0,12893044.0
31.0,12903668.0
30.0,12914284.0
30.0,12924908.0
30.0,12935532.0
31.0,12946148.0
30.0,12956776.0
31.0,12967396.0
31.0,12978020.0
30.0,12988644.0
29.0,12999268.0
30.0,13009884.0
30.0,13020508.0
31.0,13031124.0
29.0,13041752.0
30.0,13052372.0
30.0,13062988.0
32.0,13073612.0
32.0,13084236.0
32.0,13094852.0
32.0,13105476.0
31.0,13116100.0
32.0,13126728.0
33.0,13137348.0
34.0,13147964.0
33.0,13158588.0
33.0,13169204.0
33.0,13179820.0
33.0,13190444.0
33.0,13201060.0
33.0,13211688.0
32.0,13222308.0
32.0,13232924.0
31.0,13243548.0
31.0,13254164.0
32.0,13264780.0
34.0,13275404.0
33.0,13286020.0
32.0,13296648.0
32.0,13307268.0
31.0,13317884.0
34.0,13328508.0
33.0,13339124.0
32.0,13349740.0
32.0,13360364.0
31.0,13370980.0
31.0,13381596.0
32.0,13392220.0
31.0,13402836.0
32.0,13413464.0
32.0,13424084.0
32.0,13434708.0
32.0,13445340.0
33.0,13455956.0
32.0,13466572.0
32.0,13477196.0
31.0,13487812.0
30.0,13498440.0
30.0,13509060.0
33.0,13519676.0
32.0,13530300.0
33.0,13540916.0
34.0,13551532.0
35.0,13562156.0
35.0,13572772.0
35.0,13583400.0
36.0,13594020.0
35.0,13604644.0
34.0,13615268.0
33.0,13625892.0
33.0,13636508.0
32.0,13647132.0
31.0,13657748.0
31.0,13668376.0
31.0,13678996.0
33.0,13689612.0
32.0,13700236.0
32.0,13710852.0
32.0,13721468.0
31.0,13732092.0
32.0,13742716.0
33.0,13753352.0
33.0,13763972.0
33.0,13774588.0
38.0,13785212.0
41.0,13795836.0
43.0,13806452.0
41.0,13817076.0
40.0,13827692.0
39.0,13838316.0
38.0,13848940.0
38.0,13859564.0
37.0,13870188.0
35.0,13880804.0
39.0,13891420.0
37.0,13902044.0
35.0,13912660.0
35.0,13923276.0
35.0,13933900.0
35.0,13944524.0
35.0,13955152.0
34.0,13965772.0
35.0,13976396.0
34.0,13987028.0
34.0,13997644.0
33.0,14008260.0
32.0,14018884.0
33.0,14029500.0
32.0,14040128.0
33.0,14050748.0
32.0,14061372.0
32.0,14072004.0
32.0,14082620.0
37.0,14093236.0
35.0,14103860.0
35.0,14114484.0
34.0,14125112.0
33.0,14135732.0
33.0,14146356.0
33.0,14156980.0
32.0,14167596.0
32.0,14178212.0
32.0,14188836.0
32.0,14199452.0
31.0,14210080.0
31.0,14220700.0
31.0,14231316.0
31.0,14241940.0
31.0,14252564.0
30.0,14263180.0
30.0,14273804.0
30.0,14284420.0
30.0,14295048.0
30.0,14305668.0
30.0,14316284.0
30.0,14326908.0
31.0,14337524.0
30.0,14348140.0
32.0,14358764.0
32.0,14369380.0
31.0,14379996.0
31.0,14390620.0
31.0,14401236.0
30.0,14411864.0
31.0,14422484.0
31.0,14433100.0
30.0,14443724.0
34.0,14454340.0
32.0,14464964.0
32.0,14475588.0
32.0,14486204.0
33.0,14496832.0
31.0,14507452.0
34.0,14518076.0
33.0,14528708.0
32.0,14539324.0
32.0,14549940.0
32.0,14560564.0
31.0,14571180.0
32.0,14581816.0
31.0,14592436.0
31.0,14603052.0
32.0,14613676.0
32.0,14624292.0
32.0,14634908.0
32.0,14645532.0
31.0,14656148.0
32.0,14666776.0
32.0,14677396.0
32.0,14688012.0
31.0,14698636.0
31.0,14709252.0
31.0,14719868.0
31.0,14730492.0
32.0,14741108.0
32.0,14751732.0
31.0,14762356.0
31.0,14772980.0
30.0,14783604.0
30.0,14794220.0
29.0,14804836.0
30.0,14815460.0
32.0,14826076.0
31.0,14836692.0
30.0,14847316.0
31.0,14857932.0
30.0,14868560.0
29.0,14879180.0
32.0,14889796.0
32.0,14900420.0
33.0,14911044.0
31.0,14921668.0
30.0,14932292.0
29.0,14942908.0
29.0,14953536.0
30.0,14964156.0
31.0,14974772.0
31.0,14985396.0
32.0,14996012.0
31.0,15006636.0
30.0,15017260.0
29.0,15027876.0
29.0,15038504.0
29.0,15049132.0
29.0,15059748.0
29.0,15070380.0
29.0,15081004.0
29.0,15091620.0
29.0,15102244.0
28.0,15112860.0
28.0,15123496.0
29.0,15134116.0
30.0,15144732.0
30.0,15155356.0
30.0,15165980.0
30.0,15176596.0
29.0,15187220.0
29.0,15197836.0
32.0,15208464.0
31.0,15219084.0
32.0,15229700.0
32.0,15240324.0
31.0,15250940.0
31.0,15261556.0
30.0,15272180.0
33.0,15282796.0
33.0,15293420.0
32.0,15304044.0
31.0,15314660.0
31.0,15325288.0
32.0,15335908.0
31.0,15346532.0
31.0,15357156.0
31.0,15367780.0
30.0,15378396.0
32.0,15389020.0
31.0,15399636.0
32.0,15410264.0
31.0,15420884.0
30.0,15431500.0
30.0,15442132.0
31.0,15452756.0
30.0,15463372.0
30.0,15473996.0
31.0,15484612.0
31.0,15495240.0
30.0,15505860.0
31.0,15516476.0
31.0,15527100.0
30.0,15537716.0
30.0,15548332.0
30.0,15558956.0
29.0,15569580.0
28.0,15580208.0
28.0,15590828.0
29.0,15601452.0
29.0,15612076.0
29.0,15622692.0
29.0,15633308.0
29.0,15643932.0
30.0,15654548.0
30.0,15665184.0
30.0,15675804.0
30.0,15686420.0
29.0,15697044.0
29.0,15707660.0
29.0,15718276.0
29.0,15728900.0
28.0,15739516.0
28.0,15750144.0
30.0,15760764.0
29.0,15771388.0
29.0,15782012.0
30.0,15792628.0
30.0,15803244.0
30.0,15813868.0
29.0,15824484.0
29.0,15835108.0
31.0,15845732.0
31.0,15856348.0
30.0,15866976.0
30.0,15877596.0
31.0,15888212.0
30.0,15898844.0
32.0,15909460.0
31.0,15920076.0
31.0,15930700.0
30.0,15941316.0
29.0,15951944.0
29.0,15962564.0
29.0,15973180.0
30.0,15983804.0
