29.0,72007884.0
29.0,72018500.0
30.0,72029116.0
30.0,72039740.0
30.0,72050364.0
29.0,72060992.0
30.0,72071612.0
29.0,72082236.0
29.0,72092860.0
29.0,72103476.0
29.0,72114092.0
30.0,72124716.0
30.0,72135340.0
29.0,72145968.0
30.0,72156588.0
30.0,72167204.0
30.0,72177836.0
30.0,72188452.0
31.0,72199076.0
31.0,72209700.0
30.0,72220316.0
31.0,72230952.0
30.0,72241572.0
30.0,72252196.0
30.0,72262820.0
30.0,72273436.0
30.0,72284060.0
30.0,72294684.0
30.0,72305300.0
29.0,72315928.0
30.0,72326548.0
30.0,72337164.0
29.0,72347788.0
30.0,72358404.0
30.0,72369020.0
30.0,72379644.0
30.0,72390260.0
30.0,72400884.0
30.0,72411508.0
30.0,72422132.0
30.0,72432756.0
31.0,72443372.0
30.0,72453988.0
31.0,72464612.0
30.0,72475228.0
29.0,72485844.0
30.0,72496476.0
30.0,72507100.0
30.0,72517728.0
30.0,72528356.0
30.0,72538972.0
30.0,72549604.0
30.0,72560228.0
30.0,72570852.0
31.0,72581476.0
31.0,72592092.0
31.0,72602728.0
31.0,72613348.0
31.0,72623972.0
31.0,72634596.0
30.0,72645220.0
30.0,72655836.0
31.0,72666460.0
31.0,72677076.0
30.0,72687704.0
31.0,72698324.0
31.0,72708948.0
31.0,72719580.0
31.0,72730204.0
31.0,72740828.0
31.0,72751460.0
32.0,72762084.0
32.0,72772712.0
31.0,72783332.0
31.0,72793956.0
31.0,72804588.0
31.0,72815212.0
32.0,72825836.0
32.0,72836460.0
31.0,72847084.0
31.0,72857708.0
31.0,72868324.0
31.0,72878940.0
32.0,72889564.0
32.0,72900188.0
32.0,72910812.0
32.0,72921436.0
32.0,72932060.0
32.0,72942688.0
32.0,72953308.0
32.0,72963932.0
32.0,72974556.0
32.0,72985172.0
32.0,72995796.0
33.0,73006420.0
33.0,73017036.0
32.0,73027664.0
32.0,73038292.0
32.0,73048916.0
32.0,73059548.0
31.0,73070172.0
31.0,73080796.0
31.0,73091420.0
31.0,73102044.0
31.0,73112672.0
30.0,73123292.0
31.0,73133908.0
30.0,73144540.0
30.0,73155164.0
30.0,73165788.0
30.0,73176420.0
29.0,73187044.0
29.0,73197672.0
29.0,73208292.0
29.0,73218916.0
29.0,73229548.0
29.0,73240172.0
29.0,73250796.0
29.0,73261420.0
29.0,73272044.0
29.0,73282668.0
30.0,73293284.0
30.0,73303908.0
29.0,73314532.0
29.0,73325156.0
30.0,73335780.0
30.0,73346404.0
30.0,73357028.0
29.0,73367656.0
29.0,73378276.0
31.0,73388900.0
30.0,73399524.0
30.0,73410148.0
31.0,73420772.0
31.0,73431396.0
31.0,73442020.0
32.0,73452648.0
31.0,73463268.0
31.0,73473892.0
31.0,73484516.0
30.0,73495140.0
30.0,73505764.0
31.0,73516388.0
31.0,73527012.0
30.0,73537640.0
31.0,73548260.0
31.0,73558884.0
30.0,73569508.0
29.0,73580132.0
30.0,73590756.0
30.0,73601380.0
