,Time,Signal,State
174,0.0,31.0,
175,0.05263161659240723,30.0,
176,0.10526323318481445,30.0,
177,0.15789461135864258,30.0,
178,0.2105262279510498,31.0,
179,0.26315784454345703,30.0,
180,0.31578946113586426,31.0,0.0
181,0.3684210777282715,30.0,0.0
182,0.4210526943206787,29.0,0.0
183,0.47368407249450684,30.0,0.0
184,0.5263156890869141,30.0,0.0
185,0.5789473056793213,29.0,0.0
186,0.6315789222717285,30.0,0.0
187,0.6842105388641357,30.0,0.0
188,0.736842155456543,39.0,0.0
189,0.7894735336303711,35.0,0.0
190,0.8421051502227783,32.0,0.0
191,0.8947367668151855,29.0,0.0
192,0.9473683834075928,30.0,0.0
193,1.0,29.0,0.0
194,1.0526316165924072,29.0,0.0
195,1.1052632331848145,29.0,0.0
196,1.1578946113586426,28.0,0.0
197,1.2105262279510498,30.0,0.0
198,1.263157844543457,30.0,0.0
199,1.3157894611358643,29.0,0.0
200,1.3684210777282715,29.0,0.0
201,1.4210526943206787,28.0,0.0
202,1.4736840724945068,28.0,0.0
203,1.526315689086914,28.0,0.0
204,1.5789473056793213,29.0,0.0
205,1.6315789222717285,28.0,0.0
206,1.6842105388641357,28.0,0.0
207,1.736842155456543,28.0,0.0
208,1.789473533630371,27.0,0.0
209,1.8421051502227783,27.0,0.0
210,1.8947367668151855,28.0,0.0
211,1.9473683834075928,28.0,0.0
212,2.0,28.0,0.0
213,2.0526316165924072,29.0,0.0
214,2.1052632331848145,28.0,0.0
215,2.1578946113586426,27.0,0.0
216,2.21052622795105,28.0,0.0
217,2.263157844543457,27.0,0.0
218,2.3157894611358643,27.0,0.0
219,2.3684210777282715,27.0,0.0
220,2.4210526943206787,34.0,0.0
221,2.473684072494507,35.0,0.0
222,2.526315689086914,63.0,0.0
223,2.5789473056793213,98.0,0.0
224,2.6315789222717285,100.0,0.0
225,2.6842105388641357,92.0,1.0
226,2.736842155456543,86.0,1.0
227,2.789473533630371,82.0,1.0
228,2.8421051502227783,78.0,1.0
229,2.8947367668151855,72.0,1.0
230,2.9473683834075928,90.0,1.0
231,3.0029239654541016,64.0,1.0
232,3.0584795475006104,62.0,1.0
233,3.114035129547119,58.0,1.0
234,3.169590711593628,63.0,1.0
235,3.2251460552215576,58.0,1.0
236,3.2807016372680664,54.0,1.0
237,3.336257219314575,59.0,1.0
238,3.391812801361084,71.0,1.0
239,3.4473683834075928,66.0,1.0
240,3.5029239654541016,65.0,1.0
241,3.5584795475006104,64.0,1.0
242,3.614035129547119,70.0,1.0
243,3.669590711593628,67.0,1.0
244,3.7251460552215576,61.0,1.0
245,3.7807016372680664,64.0,1.0
246,3.836257219314575,67.0,1.0
247,3.891812801361084,66.0,1.0
248,3.9473683834075928,65.0,1.0
249,4.0,60.0,1.0
250,4.052631616592407,71.0,1.0
251,4.1052632331848145,58.0,1.0
252,4.157894611358643,75.0,1.0
253,4.21052622795105,68.0,1.0
254,4.263157844543457,75.0,1.0
255,4.315789461135864,61.0,1.0
256,4.3684210777282715,74.0,1.0
257,4.421052694320679,94.0,1.0
258,4.473684072494507,60.0,1.0
259,4.526315689086914,58.0,1.0
260,4.578947305679321,40.0,1.0
261,4.6315789222717285,34.0,1.0
262,4.684210538864136,31.0,1.0
263,4.736842155456543,30.0,1.0
264,4.789473533630371,29.0,0.0
265,4.842105150222778,30.0,0.0
266,4.8947367668151855,31.0,0.0
267,4.947368383407593,30.0,0.0
268,5.0,29.0,0.0
269,5.052631616592407,29.0,0.0
270,5.1052632331848145,27.0,0.0
271,5.157894611358643,27.0,0.0
272,5.21052622795105,27.0,0.0
273,5.263157844543457,28.0,0.0
274,5.315789461135864,28.0,0.0
275,5.3684210777282715,27.0,0.0
276,5.421052694320679,29.0,0.0
277,5.473684072494507,27.0,0.0
278,5.526315689086914,28.0,0.0
279,5.578947305679321,28.0,0.0
280,5.6315789222717285,28.0,0.0
281,5.684210538864136,28.0,0.0
282,5.736842155456543,28.0,0.0
283,5.789473533630371,28.0,0.0
284,5.842105150222778,28.0,0.0
285,5.8947367668151855,27.0,0.0
286,5.947368383407593,27.0,0.0
287,6.0,27.0,0.0
288,6.052631616592407,27.0,0.0
289,6.1052632331848145,27.0,0.0
290,6.157894611358643,28.0,0.0
291,6.21052622795105,28.0,0.0
292,6.263157844543457,27.0,0.0
293,6.315789461135864,27.0,0.0
294,6.3684210777282715,27.0,0.0
295,6.421052694320679,27.0,0.0
296,6.473684072494507,27.0,0.0
297,6.526315689086914,27.0,0.0
298,6.578947305679321,28.0,0.0
299,6.6315789222717285,27.0,0.0
300,6.684210538864136,27.0,0.0
301,6.736842155456543,28.0,0.0
302,6.789473533630371,26.0,0.0
303,6.842105150222778,27.0,0.0
304,6.8947367668151855,27.0,0.0
305,6.947368383407593,28.0,0.0
306,7.0,29.0,0.0
307,7.052631616592407,28.0,0.0
308,7.1052632331848145,27.0,0.0
309,7.157894611358643,27.0,0.0
310,7.21052622795105,26.0,0.0
311,7.263157844543457,25.0,0.0
312,7.315789461135864,26.0,0.0
313,7.3684210777282715,26.0,0.0
314,7.421052694320679,25.0,0.0
315,7.473684072494507,25.0,0.0
316,7.526315689086914,24.0,0.0
317,7.578947305679321,24.0,0.0
318,7.6315789222717285,24.0,0.0
319,7.684210538864136,24.0,0.0
320,7.736842155456543,24.0,0.0
321,7.789473533630371,24.0,0.0
322,7.842105150222778,23.0,0.0
323,7.8947367668151855,24.0,0.0
324,7.947368383407593,23.0,0.0
325,8.0,24.0,0.0
326,8.052631616592407,24.0,0.0
